Key,Desc,Default,French
Negative Typed Numbers,,Negative Typed Numbers,Negative Typed Numbers
New Label,,New Label,Nouvelle étiquette
New snap points will have these tags.,,New snap points will have these tags.,De nouveaux points d'accrochage auront ces balises.
Next State,,Next State,État Suivant
Nice shaking! Now let's rotate the camera.,,Nice shaking! Now let's rotate the camera.,"Belle secousse ! Maintenant, nous allons tourner la caméra."
Nice! Now let's shuffle the deck of cards.,,Nice! Now let's shuffle the deck of cards.,"Cool ! Maintenant, nous allons mélanger le paquet."
"Nice! Now let's spin our view. Hold ({0}) on both controllers, then move your hands as if you were turning a wheel.",,"Nice! Now let's spin our view.
Hold <{0}> on both controllers,
then move your hands as if you were turning a wheel.","Incroyable! Maintenant, nous allons tourner notre point de vue.
Maintenez la touche <{0}> sur les deux contrôleurs,
puis déplacez vos mains comme si vous tourniez une roue."
No,,No,Non
No Log,,No Log,Aucun journal
No special properties.,,No special properties.,Pas de propriétés spéciales.
Non-Cards,,Non-Cards,Non Cartes
Non-Convex,,Non-Convex,Non-Convex
None,,None,Aucun(e)
Normal-Bump,,Normal/Bump,Normal / Bump
North America Proxy,,North America Proxy,Amérique du Nord Proxy
Not connected to this player.,,Not connected to this player.,Non connecté à ce joueur.
Notebook,,Notebook,Carnet
Notecard,,Notecard,Fiche; fiche cartonnée
Notepad,,Notepad,Bloc-notes
Notes,,Notes,Notes
Nudge,,Nudge,Pousser
Nudging,,Nudging,Pousser
Number,,Number,Nombre
Number of Players,,Number of Players,Nombre de joueurs
Number of Players:,,Number of Players:,Nombre de joueurs:
Number of cards in the deck (2-69). Last card slot is used for the hidden card.,,Number of cards in the deck (2-69). Last card slot is used for the hidden card.,Nombre de cartes dans le jeu (2-69). Dernière fente de carte est utilisée pour la carte cachée.
Number of pages to compensate for pdf page numbering being offset from actual page numbering.,,Number of pages to compensate for pdf page numbering being offset from actual page numbering.,Nombre de pages pour compenser la numérotation des pages pdf étant décalée par rapport à la numérotation des pages réelles.
Number of people currently playing Tabletop Simulator,,Number of people currently playing Tabletop Simulator,Nombre de personnes en cours de lecture Simulator Tabletop
Number of puzzle pieces.,,Number of puzzle pieces.,Nombre de pièces de puzzle.
OC,,OC,OC
Objects,,Objects,Objets
Objects Per Group,,Objects Per Group,Objets Par groupe
Objects are not hidden in hands.,,Objects are not hidden in hands.,Les objets ne sont pas cachés dans les mains.
Objects in queue.,,Objects in queue.,Les objets dans la file d'attente.
Objects snap to both the lines and the center of the grid.,,Objects snap to both the lines and the center of the grid.,Aligner les objets à la fois les lignes et le centre de la grille.
Objects snap to center of each grid location.,,Objects snap to center of each grid location.,Aligner les objets au centre de chaque emplacement de la grille.
Objects snap to line intersections.,,Objects snap to line intersections.,Aligner les objets aux intersections des lignes.
Objects will be hidden in area.,,Objects will be hidden in area.,Les objets seront cachés dans la zone.
"Objects will only be included in a drag selection if this is enabled, or if the player holds the key.",,"Objects will only be included in a drag selection if this is enabled, or if the player holds the key.","Les objets ne seront inclus dans une sélection de glisser si cette option est activée, ou si le joueur détient la clé."
Oceanic Proxy,,Oceanic Proxy,Proxy Oceanic
Octagon,,Octagon,Octogone
Off,,Off,Off
Offset,,Offset,Décalage
Offset for the Field of View of Fog of War revealed.,,Offset for the Field of View of Fog of War revealed.,Décalage pour le champ de vision du brouillard de guerre révélé.
Ogre,,Ogre,Ogre
Ok,,Ok,Ok
Old school way to connect with IP and Port.,,Old school way to connect with IP and Port.,Ancienne école de se connecter avec IP et le port.
On-Screen Keyboard,,On-Screen Keyboard,Sur le clavier de l'écran
On-screen Keyboard Echo,,On-screen Keyboard Echo,Echo du clavier
On-screen Keyboard Scale,,On-screen Keyboard Scale,Taille du clavier affiché à l'écran
One Last Thing! Time for some mayhem! Press the 'Flip' button on the top bar!,,"One Last Thing! Time for some mayhem!
Press the 'Flip' button on the top bar!","Une dernière chose ! Il est temps de tout détruire !
Appuyez sur le bouton « Retourner » sur la barre de haut !"
Only invited people can join.,,Only invited people can join.,Seules les personnes invitées peuvent se joindre.
Only the hand owner can see in their hand.,,Only the hand owner can see in their hand.,Seul le propriétaire de la main peut voir dans leur main.
Only your friends can join.,,Only your friends can join.,Seuls vos amis peuvent se joindre.
Opacity,,Opacity,Opacité
Opacity Of Drop Indicator,,Opacity Of Drop Indicator,Opacité de l'indicateur de chute
Opacity Of Spawn Indicator,,Opacity Of Spawn Indicator,Opacité de l'indicateur de création
Open,,Open,Ouvrir
Open folder in OS,,Open folder in OS,Ouvrir le dossier dans OS
Opposing players' pointers will be hidden in area.,,Opposing players' pointers will be hidden in area.,Les pointeurs de joueurs adverses seront cachés dans la zone.
Options,,Options,Options
Options -) Info,,Options -> Info,Options -> Info
Orange,,Orange,Orange
Orc,,Orc,Orc
Order,,Order,Ordre
Orient Object Delay,,Orient Object Delay,Orient objet de retard
Original Controls,,Original Controls,Contrôles d'origine
Original Games,,Original Games,Jeux originaux
Overwrite,,Overwrite,Écraser
Overwrite theme {0}?,,Overwrite theme {0}?,Ecraser {0} thème?
Overwrite {0}?,,Overwrite {0}?,Ecraser {0}?
PDF File,,PDF File,Fichier PDF
PDF Viewer,,PDF Viewer,PDF Viewer
PERMISSIONS,,Permissions,Permissions
PM (Global),,PM (Global),MP (Global)
PM (In Game),,PM (In Game),MP (Jeu)
Pachisi,,Pachisi,Pachisi
Pad Icons Always On,,Pad Icons Always On,Pad Icônes Toujours
Pad Up = Teleport,,Pad Up = Teleport,Pad Up = Teleport
Padding,,Padding,Rembourrage
Page,,Page,Page
Page Offset,,Page Offset,Décalage de la page
Painting,,Painting,La peinture
Pan,,Pan,Pan
Pan Camera,,Pan Camera,Se déplacer
Particle Effects,,Particle Effects,Effets de particules
Party Games,,Party Games,Jeux de société
Pass Turns,,Pass Turns,Passe Tours
Password,,Password,Mot de passe
Paste,,Paste,Coller
"Paste clipboard, replacing text.",,"Paste clipboard, replacing text.","Coller le presse-papiers, remplacer le texte."
Pawn,,Pawn,Pion
Pawn Cast Iron,,Pawn Cast Iron,Moulage Pawn Fer
Pawn Chrome,,Pawn Chrome,pion Chrome
Pawn Dark,,Pawn Dark,pion noir
Pawn Light,,Pawn Light,pion Lumière
Pawn Supporters,,Pawn Supporters,Les partisans Pawn
Peek Cards & Objects,,Peek Cards & Objects,Peek Cards & Objects
Peeking,,Peeking,Peeking
Pen,,Pen,Stylo
Perfect! Now let's move the entire deck of cards.,,Perfect! Now let's move the entire deck of cards.,"Parfait ! Maintenant, nous allons déplacer le tas entier."
Persistent,,Persistent,Persistant
Physical UI Screen,,Physical UI Screen,Interface physique
Physics,,Physics,Physique
Physics are slightly toned down. Objects that are at rest will no longer interact with other objects.,,Physics are slightly toned down. Objects that are at rest will no longer interact with other objects.,Physique sont légèrement adoucies. Les objets qui sont au repos ne interagissent plus avec d'autres objets.
Pick Up,,Pick Up,Ramasser
Picture-in-Picture,,Picture-in-Picture,Image dans l'image
Piecepack,,Piecepack,Piecepack
Pieces,,Pieces,Pièces
Ping to player,,Ping to player,Ping au joueur
Pink,,Pink,Rose
Pivot,,Pivot,Pivot
Pivot Point,,Pivot Point,Point de pivot
Pixel,,Pixel,pixel
Pixel Paint,,Pixel Paint,Peinture Pixel
Placeholder,,Placeholder,placeholder
Plastic,,Plastic,Plastique
Play Area,,Play Area,Aire de jeu
Play Scripts,,Play Scripts,Scripts de lecture
"Play a solo game, or create your own custom games. Great for prototyping and testing.",,"Play a solo game, or create your own custom games. Great for prototyping and testing.","Faites une petite partie solo, ou créer vos propres jeux personnalisés. Idéal pour le prototypage et les tests."
"Play by yourself, great for creating games or playing solo games.",,"Play by yourself, great for creating games or playing solo games.","Jouez par vous-même, grand pour créer des jeux ou jouer à des jeux en solo."
Play games with people online.,,Play games with people online.,Jouer avec des gens en ligne.
Play on the same computer with multiple people.,,Play on the same computer with multiple people.,Jouez sur le même ordinateur avec plusieurs personnes.
Play with multiple people on the same computer taking turns.,,Play with multiple people on the same computer taking turns.,Jouez avec plusieurs personnes sur les mêmes tours de prise d'ordinateur.
Play with other people.,,Play with other people.,Jouer avec d'autres personnes.
Player 1,,Player 1,joueur 1
Player 1's Turn,,Player 1's Turn,tour du joueur 1
Player Name,,Player Name,Nom de joueur
Player Names,,Player Names,Noms des joueur
Player Pawns,,Player Pawns,Pions joueur
Players,,Players,Joueurs
Players on the same team can see each others hidden info and communicate with team text chat and team voice chat .,,Players on the same team can see each others hidden info and communicate with team text chat and team voice chat .,Les joueurs sur la même équipe peuvent se voir d'autres informations cachées et communiquer avec le texte de l'équipe dans le chat et le chat vocal d'équipe.
Playing Time,,Playing Time,Temps de jeu
Playlist,,Playlist,Playlist
Please enter password,,Please enter password,Veuillez entrer le mot de passe
Please pickup the card using ({0}) on either controller.,,Please pickup the card using <{0}> on either controller.,Vous pouvez prendre la carte en utilisant <{0}> de chaque contrôleur.
Please pickup the card using your finger.,,Please pickup the card using your finger.,Vous pouvez prendre la carte à l'aide de votre doigt.
Please pickup the card with (Left Mouse Button).,,Please pickup the card with <Left Mouse Button>.,Vous pouvez prendre la carte avec <Bouton gauche de la souris>.
Please pickup the card with (Right Bumper).,,Please pickup the card with <Right Bumper>.,Vous pouvez prendre la carte avec <Bumper Droit>.
Point,,Point,Point
Pointer,,Pointer,Curseur
Pointer - Zoom (Click) - Pan Camera (Hold),,Pointer / Zoom (Click) / Pan Camera (Hold),Pointeur / Zoom (Cliquez) / Caméra Pan (Hold)
Poker,,Poker,Poker
Poker Chips,,Poker Chips,Jetons de poker
Pop-out,,Pop-out,Pop-out
Port (11155 is default),,Port (11155 is default),Port (11155 est par défaut)
Port (Default is 11155),,Port (Default is 11155),Port (valeur par défaut est 11155)
Portraits,,Portraits,Portraits
Position,,Position,Position
Position of the anchor relative to the connected Rigidbody.,,Position of the anchor relative to the connected Rigidbody.,Position de la cheville par rapport au modèle du solide indéformable connecté.
Post AA,,Post AA,Poster AA
Post processing sharpen effect to enhance the clarity of textures.,,Post processing sharpen effect to enhance the clarity of textures.,Post-traitement d'accentuation pour améliorer la clarté des textures.
"Precise drawing, draw on locked objects, and change the color. +-- to scale the thickness.",,"Precise drawing, draw on locked objects, and change the color. +/- to scale the thickness.","dessin précis, tirer sur des objets verrouillés, et changer la couleur. +/- à l'échelle de l'épaisseur."
Preset Quality,,Preset Quality,Qualité Prédéfinie
Presets,,Presets,Préconfigurations
Press (Space) to reset the camera.,,Press <Space> to reset the camera.,Appuyez sur <Espace> pour repositionner la caméra.
Press F11 to quickly hide the UI. SHIFT + F11 for HD Screenshots,,Press F11 to quickly hide the UI. SHIFT + F11 for HD Screenshots,F11 pour cacher l'interface. SHIFT + F11 pour une capture.
"Press and hold the left mouse button to pick up objects. Grab and hold to pick up stacks and decks. To grab a single item from stacks and decks, grab and move your mouse off the deck quickly.",,"Press and hold the left mouse button to pick up objects. Grab and hold to pick up stacks and decks. To grab a single item from stacks and decks, grab and move your mouse off the deck quickly.","Appuyez et maintenez enfoncé le bouton gauche de la souris pour ramasser des objets. Saisissez et maintenez pour ramasser des piles et des paquets. Pour prendre un seul élément de piles et paquets, saisir et déplacez votre souris sur le paquet rapidement."
Press and hold your finder on the deck for a second then drag.,,Press and hold your finder on the deck for a second then drag.,Appuyez et maintenez votre viseur sur le pont pour une seconde puis faites glisser.
Press or the middle mouse button to quickly zoom to where your mouse is pointing.,,Press or the middle mouse button to quickly zoom to where your mouse is pointing.,Appuyez sur ou sur le bouton central de la souris pour zoomer rapidement à l'endroit où votre souris pointe.
Press plus a number to load up a saved camera view. You can also do this in the Global Contextual Menu.,,Press plus a number to load up a saved camera view. You can also do this in the Global Contextual Menu.,Appuyez sur Shift et un chiffre pour charger une caméra enregistrée. Vous pouvez aussi le faire dans le menu contextuel global.
Press the key to bring down the curtain as your blindfold. You can also bring this up in the Global Contextual Menu.,,Press the key to bring down the curtain as your blindfold. You can also bring this up in the Global Contextual Menu.,Appuyez sur la touche pour faire tomber un rideau simulant les yeux bandés. Vous pouvez également apporter cela dans le menu contextuel global.
Press the key to magnify everything on the table. You can also zoom in & out with the scroll wheel on your mouse.,,Press the key to magnify everything on the table. You can also zoom in & out with the scroll wheel on your mouse.,Appuyez sur la touche pour tout inspecter à la loupe sur la table. Vous pouvez également zoomer avec la molette de votre souris.
Press the key to quickly bring up the main menu.,,Press the key to quickly bring up the main menu.,Appuyez sur la touche pour mettre rapidement le menu principal.
"Press to lower an object you're holding or to pick up other objects. Alternatively, you can press down with the right mouse button.",,"Press to lower an object you're holding or to pick up other objects. Alternatively, you can press down with the right mouse button.","Press to lower an object you're holding or to pick up other objects. Alternatively, you can press down with the right mouse button."
Press to talk to only those people on the same team as you.,,Press to talk to only those people on the same team as you.,Tchat vocal concernant uniquement les membres de votre équipe.
Preview,,Preview,Aperçu
Previous State,,Previous State,État Précédent
Primary,,Primary,Primaire
Private,,Private,Privé
Profanity Filter,,Profanity Filter,filtre d'obscénités
Progress,,Progress,Le progrès
Projection,,Projection,Projection
Promote,,Promote,Promouvoir
Promoted,,Promoted,promu
Props,,Props,Props
Proxy,,Proxy,Procuration
"Proxy servers will increase latency for clients, but should ensure a connection. Clients will only connect through the proxy server as a last resort.",,"Proxy servers will increase latency for clients, but should ensure a connection. Clients will only connect through the proxy server as a last resort.","Les serveurs proxy augmente la latence pour les clients, mais devraient assurer une connexion. Les clients ne se connectent via le serveur proxy en dernier recours."
Public,,Public,Publique
Pure,,Pure,Pur
Pure Mode: Floor Mist,,Pure Mode: Floor Mist,Mode Pur: Sol brouillard
Pure Mode: Hide Custom Image,,Pure Mode: Hide Custom Image,Mode Pur: Cacher les images personnalisées
Purple,,Purple,Violet
Push To Talk,,Push To Talk,Appuyez pour parler
Puzzle Games,,Puzzle Games,Jeux de puzzle
Quarter,,Quarter,Trimestre
Queen,,Queen,Reine
Queen Cast Iron,,Queen Cast Iron,Reine en fonte
Queen Chrome,,Queen Chrome,Reine Chrome
Queen Dark,,Queen Dark,Reine sombre
Queen Light,,Queen Light,Reine Lumière
Queen Supporters,,Queen Supporters,Les partisans de la Reine
Quick Zoom,,Quick Zoom,Zoom rapide
Quick tap on an object.,,Quick tap on an object.,pression rapide sur un objet.
Quick way to change graphical settings without having to tweak individual options. Only use low or very low if you have FPS issues.,,Quick way to change graphical settings without having to tweak individual options. Only use low or very low if you have FPS issues.,Moyen rapide de modifier les paramètres graphiques sans avoir à modifier les options individuelles. Utilisez uniquement faible ou très faible si vous avez des problèmes d'IPS.
Quickly drag away from the deck.,,Quickly drag away from the deck.,faites-le glisser rapidement de la plate-forme.
Quit playing.,,Quit playing.,Arrête de jouer.
REMOVE BLINDFOLD,,Remove Blindfold,Retirer Blindfold
RIGHT_THEN_DOWN,,Right / Down,Droite / Bas
RIGHT_THEN_UP,,Right / Up,Droite / Haut
RIGIDBODY,,Rigidbody,Corps rigide
ROTATIONS,,Rotations,rotations
RPG,,RPG,RPG
RPG Attack,,RPG Attack,Attaque RPG
RPG Die,,RPG Die,Mort RPG
RPG Figurines - Protofactor,,RPG Figurines - Protofactor,RPG Figurines - Protofactor
"RPG Figurines are fully animated. Use 1, 2, 3 to activate.",,"RPG Figurines are fully animated. Use 1, 2, 3 to activate.","Les Figurines RPG sont animées. Utilisez 1, 2, 3 pour les activer."
RPG Kit,,RPG Kit,Kit RPG
RPG Mode,,RPG Mode,Mode RPG
Raise,,Raise,Élever
Raise-Randomize,,Raise/Randomize,Lever / Randomiser
Random,,Random,Aléatoire
Random Card,,Random Card,Carte aléatoire
Random Domino,,Random Domino,Au hasard Domino
Random Mahjong,,Random Mahjong,aléatoire Mahjong
Randomize,,Randomize,Randomiser
Randomize - Raise,,Randomize / Raise,Randomize / Raise
Randomize Zone Tags,,Randomize Zone Tags,Zone randomize Mots clés
Randomize all objects in this zone?,,Randomize all objects in this zone?,Randomisez tous les objets dans cette zone?
Randomizes rotation when shaken and spins when thrown.,,Randomizes rotation when shaken and spins when thrown.,Rotation des randomizes quand on les secoue et tourne une fois jeté.
Randomly play an audioclip from a the playlist?,,Randomly play an audioclip from a the playlist?,jouer au hasard un AudioClip d'une la liste de lecture?
Range of Fog of War revealed.,,Range of Fog of War revealed.,Distance de brouillard de guerre révélé.
Ranger,,Ranger,Ranger
ReHide Objects,,Re-Hide Objects,Objets Remasquez
Read more on our Knowledge Base.,,Read more on our Knowledge Base.,En savoir plus sur notre Documentation.
Real,,Real,Réel
Rectangle,,Rectangle,Rectangle
Rectangle (Rounded),,Rectangle (Rounded),Rectangle (Arrondi)
Red,,Red,rouge
Red 100,,Red 100,rouge 100
Red Square,,Red Square,carré rouge
Reflection Intensity,,Reflection Intensity,Intensité de réflexion
Refresh server list,,Refresh server list,liste des serveurs Actualiser
Regal,,Regal,Royal
Region,,Region,Région
Remove all {0} controls?,,Remove all {0} controls?,Retirez tous les contrôles {0}?
Remove block on {0}?,,Remove block on {0}?,Retirer le bloc sur {0}?
Rename,,Rename,Renommer
Rename theme?,,Rename theme?,Renommer le thème?
Render Drawing over UI,,Render Drawing Over UI,Afficher les dessisn par dessus l'interface
Repeat current audioclip?,,Repeat current audioclip?,Répétez AudioClip courant?
Reset,,Reset,Réinitialiser
Reset All,,Reset All,Effacer tout
Reset Camera,,Reset Camera,Réini. caméra
Reset Data,,Reset Data,R. données
Reset Fog,,Reset Fog,Réinitialiser Brouillard
Reset View,,Reset View,Réinitialiser la caméra
Reset the camera!,,Reset the camera!,Réinitialisez la camera !
Reset to Default,,Reset to Default,Réinitialiser par défaut
Reset to default Light scheme (CTRL-F12),,Reset to default Light scheme (CTRL-F12),Réinitialiser par défaut le thème (CRTL-F12)
"Resets all saved data (General, Controls, UI, etc).",,"Resets all saved data (General, Controls, UI, etc).","Réinitialise toutes les données enregistrées (général, les contrôles, l'interface utilisateur, etc.)."
Resets the camera to its default position based on your seat position. This can be overridden by saving a camera view by pressing + .,,Resets the camera to its default position based on your seat position. This can be overridden by saving a camera view by pressing + .,Remet la caméra à sa position par défaut en fonction de votre position de siège. Cela peut être contournée en enregistrant une vue de la caméra en appuyant sur +.
Resolution,,Resolution,Résolution
Resume Game,,Resume Game,Reprendre
Reveal Color,,Reveal Color,Couleur Reveal
Reveal FoV,,Reveal FoV,révéler FoV
Reveal FoV Offset,,Reveal FoV Offset,Reveal FoV Offset
Reveal Fog of War,,Reveal Fog of War,Révéler brouillard
Reveal Height,,Reveal Height,Révéler Hauteur
Reveal Range,,Reveal Range,Gamme Reveal
Reveal to all.,,Reveal to all.,Révéler à tous.
Reveal to blue.,,Reveal to blue.,Révéler au bleu.
Reveal to brown.,,Reveal to brown.,Révéler au brun.
Reveal to green.,,Reveal to green.,Révéler au vert.
Reveal to orange.,,Reveal to orange.,Révéler à l'orange.
Reveal to pink.,,Reveal to pink.,Révéler au rose.
Reveal to purple.,,Reveal to purple.,Révéler au violet.
Reveal to red.,,Reveal to red.,Révéler au rouge.
Reveal to teal.,,Reveal to teal.,Révéler à sarcelle.
Reveal to white.,,Reveal to white.,Révéler au blanc.
Reveal to yellow.,,Reveal to yellow.,Révéler au jaune.
Revealer,,Revealer,Révélateur
Reverse,,Reverse,Inverser
Reverse Hiding,,Reverse Hiding,Hiding inverse
Reverse Order,,Reverse Order,Ordre inverse
Reversed,,Reversed,Renversé
ReversedSort,,When enabled the sort order inside a group is reversed.,Lorsqu'elle est activée l'ordre de tri dans un groupe est inversé.
Reverses the turn order from the default.,,Reverses the turn order from the default.,Renverse l'ordre du tour de la valeur par défaut.
Reversi,,Reversi,Reversi
Reversi Chip,,Reversi Chip,Reversi Chip
Rewind Time,,Rewind Time,Retour arrière
Right,,Right,Droite
Right Pad Down,,Right Pad Down,Pad droit vers le bas
Right Tool Hotkeys,,Right Tool Hotkeys,Bon outil Hotkeys
Right click on an object for more options.,,"Right click on an object
for more options.","Faites Clique Droit sur un objet
pour plus d'options."
Right click on non-objects for global menu options.,,"Right click on non-objects for
global menu options.","Faites Clique Droit pour
options de menu global."
Rock,,Rock,Roche
Role-playing Games,,Role-playing Games,Jeux de rôle
Roll,,Roll,Rouleau
Rook,,Rook,Tour
Rook Cast Iron,,Rook Cast Iron,Rook Fonte
Rook Chrome,,Rook Chrome,Rook Chrome
Rook Dark,,Rook Dark,Rook noir
Rook Light,,Rook Light,Rook Lumière
Rook Supporters,,Rook Supporters,Les partisans Rook
Rooms,,Rooms,Pièces
Rotate,,Rotate,Tourner
Rotate Camera,,Rotate Camera,Pivoter caméra
Rotate Camera - Reset (Click),,Rotate Camera / Reset (Click),Faire pivoter la caméra / Reset (Cliquez)
Rotate Left,,Rotate Left,Tourner à gauche
Rotate Other Axis,,Rotate Other Axis,Rotation autre axe
Rotate Right,,Rotate Right,Tourner à droite
Rotate Snap,,Rotate Snap,Rotation Aligner
"Rotate snap points are the same as the snap points, except you can change the rotation position. So if you turned a snap point 30 degrees to the right, when you place an object on top if it, it will snap into place and also rotate 30 degrees.",,"Rotate snap points are the same as the snap points, except you can change the rotation position. So if you turned a snap point 30 degrees to the right, when you place an object on top if it, it will snap into place and also rotate 30 degrees.","Rotation des points sont encliquetage les mêmes que les points d'accrochage, sauf que vous pouvez changer la position de rotation. Donc, si vous avez activé un point 30 pression degrés vers la droite, lorsque vous placez un objet sur le dessus si elle, elle se mettra en place et tourner aussi 30 degrés."
Rotation,,Rotation,Rotation
Rotation Degrees,,Rotation Degrees,Degrés de rotation
Rotation Value,,Rotation Value,Valeur de rotation
Round,,Round,Rond
Round Glass,,Round Glass,Verre Rond
Rounded,,Rounded,Arrondi
Ruler mode,,Ruler mode,Mode règle
Rules,,Rules,Règles
SAVE & EXIT,,Save & Exit,Sauv. & Quitter
SAVE & LOAD,,Save & Load,Sauv. & Charger
SAVE GAME,,Save Game,Sauvegarder la partie
SAVED OBJECTS,,Saved Objects,Objets enregistrés
SERVER,,Server,Serveur
SORT_BY_ADDED,,Added Time,Ajouté Le temps
SORT_BY_DESC,,Description,Description
SORT_BY_GM,,GM Notes,Notes du MJ
SORT_BY_MEMO,,Memo,Note
SORT_BY_NAME,,Name,Nom
SORT_BY_VALUE,,Value,Valeur
SORT_NONE,,None,Aucun
SOUND,,Sound,Audio
SOUTHWARD,,Southward,Vers le sud
SPOTLIGHT,,Spotlight,Mise en avant
SSAO,,SSAO,SSAO
SUBMIT,,Submit,Soumettre
Sandbox,,Sandbox,Bac à sable
Saturation,,Saturation,Saturation
Save,,Save,Sauver
Save & Play,,Save & Play,Sauv. & Jouer
Save Camera,,Save Camera,Sauv. Caméra
Save Camera View,,Save Camera View,Sauv. la caméra
Save Object,,Save Object,Enregistrer l'objet
Save Object(s),,Save Object(s),Enregistrer objet (s)
Save a game you have playing for a long time and load it up again when you're ready to play it again.,,Save a game you have playing for a long time and load it up again when you're ready to play it again.,Enregistrer un jeu que vous avez jouer pendant une longue période et le charger à nouveau lorsque vous êtes prêt à jouer à nouveau.
Save current theme as...,,Save current theme as...,Enregistrer le thème en tant que ...
Save to Chest,,Save to Chest,Enregistrer sur la poitrine
Saves scripting changes to the last open save and reloads the game with any script changes. Any changes that were not script related will be lost.,,Saves scripting changes to the last open save and reloads the game with any script changes. Any changes that were not script related will be lost.,Enregistre les modifications de script à la dernière ouverture et rechargements Enregistrer le jeu avec tout changement de script. Toute modification qui ne sont pas de script liées seront perdues.
Saving,,Saving,Sauvegarde
Scale,,Scale,Taille
Scale Down,,Scale Down,Rapetisser
Scale Up,,Scale Up,Aggrandir
Scaling,,Scaling,Taille
"Scaling applied to card only, not to base.",,"Scaling applied to card only, not to base.","Mise à l'échelle appliquée à la carte, et non à la base."
Scripting,,Scripting,Scripting
Scripting 1,,Scripting 1,Scripting 1
Scripting 10,,Scripting 10,Scripting 10
Scripting 2,,Scripting 2,Scripting 2
Scripting 3,,Scripting 3,Scripting 3
Scripting 4,,Scripting 4,Scripting 4
Scripting 5,,Scripting 5,Scripting 5
Scripting 6,,Scripting 6,Scripting 6
Scripting 7,,Scripting 7,Scripting 7
Scripting 8,,Scripting 8,Scripting 8
Scripting 9,,Scripting 9,Scripting 9
Scripting Editor,,Scripting Editor,Éditeur de script
Scripting Zone Tags,,Scripting Zone Tags,Scripting Zone Tags
Scripting: Automated,,Scripting: Automated,Scripting: automatique
Search,,Search,Rechercher
Search privately without others being able to see what's inside.,,Search privately without others being able to see what's inside.,"Recherche en privé, sans autres être en mesure de voir ce qui est à l'intérieur."
Search publicly with others being able to see what's inside.,,Search publicly with others being able to see what's inside.,Rechercher publiquement avec d'autres être en mesure de voir ce qui est à l'intérieur.
Secondary,,Secondary,Secondaire
Seconds,,Seconds,secondes
See everyone who has contributed to Tabletop Simulator's development.,,See everyone who has contributed to Tabletop Simulator's development.,Voir tous ceux qui ont contribué au développement de simulateur Tabletop.
See-through,,See-through,Voir à travers
Select,,Select,Sélectionner
Selection Height,,Selection Height,sélection Hauteur
Selection Style,,Selection Style,sélection du style
Selects the microphone to use for Voice Chat.,,Selects the microphone to use for Voice Chat.,Sélectionne le microphone à utiliser pour le Tchat Vocal.
Semi-Lock,,Semi-Lock,Semi-Lock
Server Browser,,Server Browser,Serveurs
Server IP,,Server IP,IP du serveur
Server Name,,Server Name,Nom du serveur
Server Password,,Server Password,Mot de passe du serveur
Server Type,,Server Type,Type de serveur
Set Camera 0,,Set Camera 0,Set Caméra 0
Set UI Visibility,,Set UI Visibility,Afficher ou non l'interface
Sets the Radius,,Sets the Radius,Définit le rayon
Shadow Quality,,Shadow Quality,Qualité des ombres
Shadows,,Shadows,Ombres
Sharpen,,Sharpen,Accentuation
Shift,,Shift,Shift
Should player hands hold objects?,,Should player hands hold objects?,Est-ce que les joueurs doivent tenir des objets ?
Should the hidden area be semi-transparent when hiding?,,Should the hidden area be semi-transparent when hiding?,la zone cachée doit être semi-transparent lorsqu'il se cacher?
Should the object cast shadows? It's a good idea to disable this for ceiling objects.,,Should the object cast shadows? It's a good idea to disable this for ceiling objects.,l'objet doit jeter des ombres? Il est une bonne idée de désactiver ce pour les objets de plafond.
Should the object snap to any grid points?,,Should the object snap to any grid points?,L'objet doit s'aligner sur les points de la grille?
Should the object snap to any snap points?,,Should the object snap to any snap points?,L'objet doit s'attacher à tout les points d'accrochage?
Should the object survive loading between saves and mods?,,Should the object survive loading between saves and mods?,l'objet doit survivre chargement entre deux sauvegardes et mods?
Should this object go into player hands?,,Should this object go into player hands?,Au cas où cet objet aller dans les mains du joueur?
Should this object receive grid lines projected onto it?,,Should this object receive grid lines projected onto it?,Au cas où cet objet recevoir des lignes de grille projetée sur celui-ci?
Show For Grid,,Show For Grid,Afficher la grille
Show For Snap Points,,Show For Snap Points,Afficher les points d'accrochages
Show Lines,,Show Lines,Afficher les lignes
Show When Not Snapping,,Show When Not Snapping,Afficher l'indicateur de chute sans point d'accrochage
Show floating Steam Avatars where the player is seated.,,Show floating Steam Avatars where the player is seated.,Afficher l'avatar des joueurs à leur place assise.
Show only servers that your friends are in.,,Show only servers that your friends are in.,Afficher uniquement les serveurs que vos amis sont.
Show-Hide Note,,Show/Hide Note,Afficher / Masquer les notes
Shuffle,,Shuffle,Mélanger
Sideways,,Sideways,De côté
Silver 500,,Silver 500,argent 500
Singleplayer,,Singleplayer,Solo
Size,,Size,Taille
Size Of Collapsed Section,,Size Of Collapsed Section,Taille de la section de réduction
Size of the UI.,,Size of the UI.,Taille de l'interface utilisateur.
"Size of the play area, includes the size of the invisible walls and camera zoom (Default = 0.5).",,"Size of the play area, includes the size of the invisible walls and camera zoom (Default = 0.5).","Taille de la zone de lecture, comprend la taille des murs invisibles et zoom de la caméra (par défaut = 0,5)."
Skeleton Knight,,Skeleton Knight,Chevalier squelette
Skip Empty Hands,,Skip Empty Hands,Passer les mains vides
Skip to the next audioclip?,,Skip to the next audioclip?,Passer à l'autre AudioClip?
